ko,sequence_count,full_f1,full_note,frag_f1,frag_note
K00182,224,0.920635,,0.90411,
K00184,84,0.48,,0.5,
K00185,68,0.833333,,0.666667,
K00186,78,0.888889,,0.5,
K00187,68,0.947368,,1.0,
K00188,65,0.705882,,0.705882,
K00189,40,0.266667,,0.4,
K00192,65,0.962963,,0.952381,
K00193,72,0.933333,,0.736842,
K00194,151,0.983051,,0.933333,
K00195,71,0.88,,0.9,
K00196,398,0.646707,,0.79661,
K00197,178,0.985915,,0.916667,
K00198,431,1.0,,0.992701,
K00200,277,0.970874,,0.97619,
K00201,346,0.934307,,0.909091,
K00202,323,0.992,,0.832,
K00203,148,0.8,,0.645161,
K00204,48,0.941176,,0.857143,
K00205,135,1.0,,0.857143,
K00206,98,0.967742,,0.962963,
K00207,358,0.992701,,0.909091,
K00208,2541,0.99004,,0.929425,
K00209,620,0.995918,,0.96,
K00211,147,0.981818,no negative,0.956522,
K00212,43,0.5,,0.0,
K00213,331,0.947368,,0.851485,
K00214,275,0.893204,,0.753623,
K00215,4715,0.973528,,0.918778,
K00216,514,0.904255,,0.839695,
K00217,665,0.894737,,0.825532,
K00218,304,0.823529,,0.702703,
K00219,1152,0.984816,,0.937063,
K00220,505,0.989474,,0.975,
K00221,100,0.83871,,0.666667,
K00222,383,0.914286,,0.849057,
K00223,174,0.969697,,0.923077,
K00224,375,0.965517,,0.913386,
K00225,100,1.0,no negative,0.962963,
K00226,769,0.925926,,0.87619,
K00227,904,0.752,,0.675,
K00228,2585,0.992063,,0.940914,
K00230,1084,0.847458,,0.734824,
K00231,2729,0.855814,,0.831276,
K00232,2548,0.903808,,0.820106,
K00233,104,1.0,,0.923077,
K00234,440,0.946746,,0.944882,
K00235,653,0.95082,,0.93913,
K00236,715,0.891566,,0.774869,
K00237,571,0.911628,,0.924855,
K00239,2482,0.960082,,0.876647,
K00240,2654,0.972872,,0.855886,
K00241,3620,0.902386,,0.791096,
K00242,1935,0.904698,,0.852255,
K00243,1400,0.980462,,0.905312,
K00244,165,0.983051,,0.95,
K00245,191,0.921053,,0.75,
K00245+K00246,1,1.0,,,
K00245+K00247,1,1.0,,,
K00246,285,0.842105,,0.655172,
K00247,268,0.771084,,0.806452,
K00248,1090,0.724138,,0.590476,
K00249,6617,0.648517,,0.559916,
K00251,158,1.0,no negative,0.923077,
K00252,2237,0.986301,,0.90719,
K00253,1107,0.971154,,0.91689,
K00254,3712,0.986283,,0.951515,
K00255,1082,0.805556,,0.740331,
K00257,52,1.0,no negative,0.909091,
K00258,21,0.727273,,0.333333,
K00259,2759,0.991736,,0.961973,
K00260,380,0.896,,0.8,
K00261,1999,0.883117,,0.852123,
K00262,2065,0.983931,,0.937685,
K00263,1113,0.983908,,0.913265,
K00264,301,0.893939,,0.839286,
K00265,2235,0.890395,,0.859717,
K00266,3352,0.955065,,0.898029,
K00270,73,1.0,,1.0,
K00271,194,0.945946,,0.965517,
K00272,480,0.894118,,0.869565,
K00273,1163,0.862661,,0.809651,
K00274,2340,0.78232,,0.631912,
K00275,4575,0.935227,,0.82903,
K00276,2048,0.918575,,0.780069,
K00277,349,0.963504,,0.842105,
K00278,3153,0.960706,,0.91659,
K00278+K00767,42,0.823529,,,
K00279,936,0.915254,,0.846975,
K00280,844,0.738351,,0.786885,
K00281,2354,0.996778,,0.949445,
K00282,1275,0.996063,,0.948718,
K00283,1123,1.0,,0.953368,
K00284,489,0.810345,,0.96,
K00285,2323,0.878689,,0.783237,
K00286,6274,0.968472,,0.933025,
K00287,4870,0.904908,,0.86637,
K00288,423,0.986667,,0.921739,
K00289,279,0.990476,,0.902439,
K00290,313,0.943089,,0.941176,
K00293,113,0.947368,,0.833333,
K00294,1763,0.979651,,0.915619,
K00295,146,0.923077,,0.95,
K00296,7,1.0,no negative,1.0,no negative
K00297,3658,0.948895,,0.914189,
K00298,69,0.647059,,0.8,
K00299,2240,0.920415,,0.905207,
K00300,100,1.0,,0.969697,
K00301,805,0.768293,,0.692982,
K00302,642,0.968504,,0.870813,
K00303,375,0.986667,,0.918033,
K00304,670,0.969697,,0.884462,
K00305,804,0.846975,,0.754098,
K00306,904,0.824242,,0.707819,
K00307,3,0.0,no positive,0.0,no positive
K00308,316,0.933333,,0.938776,
K00309,243,0.865979,,0.883117,
K00310,11,1.0,,0.666667,
K00311,1735,0.979651,,0.945996,
K00312,94,1.0,,0.952381,
K00313,517,0.966507,,0.873563,
K00314,281,0.962963,,0.921348,
K00315,639,0.9375,,0.830769,
K00316,145,0.965517,,0.923077,
K00317,171,0.888889,,0.867925,
K00318,2272,0.933031,,0.843411,
K00319,59,0.952381,,1.0,no negative
K00320,510,0.372294,,0.30303,
K00322,538,0.956938,,0.9375,
K00323,280,1.0,,0.967742,
K00324,2927,0.970383,,0.919881,
K00325,1662,0.990854,,0.957746,
K00326,2058,0.874851,,0.859935,
K00327,743,0.801325,,0.818182,
K00330,2391,0.907563,,0.912946,
K00331,1596,0.973561,,0.895868,
K00332,2882,0.941599,,0.885246,
K00333,1698,0.984985,,0.875912,
K00334,2720,0.895146,,0.853242,
K00335,2128,0.883249,,0.829268,
K00336,2503,0.924868,,0.860465,
K00337,2671,0.951659,,0.923077,
K00338,2040,0.953627,,0.876263,
K00339,3221,0.92236,,0.833792,
K00340,1872,0.932065,,0.923928,
K00341,3123,0.939935,,0.897561,
K00342,3140,0.958231,,0.926276,
K00343,3287,0.96715,,0.915441,
K00344,8129,0.63192,,0.576888,
K00345,205,0.90411,,0.867925,
K00346,752,1.0,,0.970464,
K00347,636,0.954357,,0.890052,
K00348,883,0.94362,,0.848485,
K00349,523,0.985366,,0.908108,
K00350,452,0.988506,,0.932432,
K00351,548,0.995392,,0.939227,
K00354,983,0.425532,,0.394619,
K00355,2390,0.845261,,0.803318,
K00357,336,0.95935,,0.916667,
K00359,319,0.868852,,0.588235,
K00360,287,0.93913,,0.842105,
K00361,85,1.0,,1.0,
K00362,923,0.988764,,0.935593,
K00362+K00363,29,0.666667,,,
K00363,1264,0.946281,,0.763285,
K00364,709,0.985612,,0.947791,
K00365,902,0.965318,,0.798387,
K00366,750,0.888031,,0.821782,
K00367,282,0.678571,,0.785714,
K00368,838,0.865497,,0.817518,
K00370,886,0.997085,,0.938356,
K00371,817,0.993789,,0.944056,
K00372,1542,0.895973,,0.817427,
K00373,1287,0.904167,,0.841608,
K00374,1078,0.990566,,0.915942,
K00375,5121,0.887218,,0.834128,
K00376,468,0.989247,,0.939024,
K00378,37,0.8,,0.5,
K00380,2371,0.978261,,0.848855,
K00381,1497,0.963087,,0.913907,
K00382,6747,0.956554,,0.881524,
K00383,2522,0.968008,,0.895884,
K00384,7703,0.880793,,0.874656,
K00384+K03671,22,0.571429,,,
K00385,247,0.713043,,0.779221,
K00386,65,0.444444,,0.545455,
K00387,822,0.797619,,0.792308,
K00389,1531,0.776068,,0.707692,
K00390,3370,0.935609,,0.820171,
K00390+K00860,1,1.0,,,
K00392,1123,0.92093,,0.834356,
K00394,183,0.958904,,0.766667,
K00395,201,0.948718,,0.957746,
K00399,63,1.0,no negative,1.0,
K00400,147,0.983051,,1.0,no negative
K00401,80,1.0,,1.0,
K00402,76,1.0,,1.0,
K00404,1058,0.955224,,0.890208,
K00405,1235,0.915254,,0.911695,
K00406,1871,0.934247,,0.818331,
K00407,1435,0.738255,,0.722433,
K00408,281,0.794872,,0.645161,
K00410,130,0.590909,,0.5,
K00411,2129,0.985612,,0.896366,
K00412,1287,0.870103,,0.807256,
K00413,1957,0.981771,,0.848896,
K00414,127,0.947368,,0.909091,
K00415,563,0.973214,,0.842105,
K00416,684,0.937984,,0.879668,
K00417,668,0.938776,,0.860987,
K00418,478,0.951351,,0.874251,
K00419,453,0.946746,,0.881579,
K00420,347,0.9,,0.96063,
K00421,6,0.0,,0.4,
K00422,570,0.972477,,0.878049,
K00423,453,0.818182,,0.747967,
K00424,656,0.904943,,0.953125,
K00425,3925,0.979408,,0.857592,
K00426,4141,0.981201,,0.874814,
K00427,69,0.869565,,0.909091,
K00428,3472,0.841522,,0.747423,
K00430,8326,0.965539,,0.916721,
K00431,334,0.936937,,0.866667,
K00432,5886,0.96791,,0.920679,
K00433,2427,0.79704,,0.801556,
K00434,632,0.977169,,0.88172,
K00435,710,0.885906,,0.845815,
K00436,236,0.966292,,0.8,
K00437,97,0.814815,,0.842105,
K00440,73,0.875,,0.727273,
K00441,457,0.686747,,0.561404,
K00442,98,0.923077,,0.782609,
K00443,64,0.9,,0.8,
K00444,321,0.877551,,0.840909,
K00445,208,0.909091,,0.84058,
K00446,283,0.648148,,0.533333,
K00448,889,0.979943,,0.839858,
K00449,913,0.923077,,0.830325,
K00450,638,0.9375,,0.877551,
K00451,1814,0.981612,,0.925865,
K00452,817,0.977778,,0.926471,
K00453,1702,0.973214,,0.844622,
K00454,758,0.986486,,0.920354,
K00455,190,0.91358,,0.882353,
K00456,531,0.875676,,0.924138,
K00457,1924,0.973262,,0.92,
K00458,184,0.915254,,0.755556,
K00459,4390,0.92603,,0.876976,
K00460,73,0.888889,,0.833333,
K00461,451,0.835294,,0.724832,
K00462,46,0.625,,1.0,
K00463,778,0.950355,,0.841629,
K00464,259,0.60177,,0.678571,
K00465,141,0.981132,,0.958333,
K00466,65,0.857143,,0.769231,
K00467,602,0.969163,,0.873096,
K00468,166,1.0,,0.96,
K00469,879,0.976608,,0.931973,
K00471,777,0.816609,,0.669951,
K00472,3383,0.871069,,0.743468,
K00473,131,0.954545,,0.947368,
K00474,402,0.857143,,0.8,
K00475,131,0.938776,,0.787879,
K00476,649,0.736364,,0.666667,
K00477,1333,0.601476,,0.602353,
K00478,86,1.0,no negative,0.962963,
K00479,312,0.919355,,0.840909,
K00480,46,0.705882,,0.5,
K00481,1125,0.981735,,0.858667,
K00483,583,0.934673,,0.829932,
K00484,199,0.912281,,0.93617,
K00485,2051,0.863132,,0.78098,
K00486,939,0.935484,,0.873786,
K00487,151,0.964286,,0.883721,
K00488,396,0.941935,,0.905983,
K00489,141,0.923077,,0.9,
K00490,288,0.767677,,0.714286,
K00491,416,0.97561,,0.883721,
K00493,10,0.666667,,0.5,
K00494,15,1.0,,0.666667,
K00495,2,,no sample,0.0,no positive
K00496,760,0.927152,,0.856,
K00497,199,0.925373,,0.826087,
K00498,165,0.947368,,0.923077,
K00499,125,0.958333,,1.0,
K00500,1340,0.93186,,0.795699,
K00501,334,0.968254,,0.925,
K00502,292,0.971963,,0.787234,
K00503,376,0.857143,,0.781818,
K00504,217,0.860465,,0.84375,
K00505,1699,0.680973,,0.535332,
K00506,123,0.978723,no negative,1.0,
K00507,3776,0.927793,,0.844828,
K00508,530,0.849057,,0.882353,
K00509,193,0.972222,,0.964286,
K00510,245,0.955556,,0.871795,
K00511,714,0.989011,,0.933333,
K00512,314,0.808511,,0.783784,
K00513,190,1.0,,0.965517,
K00514,167,1.0,,0.958333,
K00515,370,0.903226,,0.872727,
K00516,52,1.0,,0.857143,
K00517,21,0.888889,,0.857143,
K00518,209,0.935065,,0.807018,
K00520,439,0.899408,,0.818182,
K00521,717,0.831461,,0.701299,
K00522,1604,0.828528,,0.759295,
K00523,875,0.846591,,0.793651,
K00524,81,0.965517,,0.952381,
K00525,4661,0.938368,,0.895646,
K00526,2456,0.876907,,0.808237,
K00526+K03676,1,0.0,,,
K00527,57,0.5,,0.666667,
K00528,3258,0.929147,,0.821978,
K00529,2553,0.793333,,0.733844,
K00530,36,1.0,no negative,1.0,
K00531,53,0.888889,,0.857143,
K00532,41,0.857143,,0.666667,
K00533,51,0.8,,0.631579,
K00534,54,0.7,,0.923077,
K00537,3356,0.938838,,0.896832,
K00540,856,0.730769,,0.679012,
K00541,479,0.797814,,0.70303,
K00542,140,0.878049,,0.871795,
K00543,361,0.890511,,0.873786,
K00544,437,0.931034,,0.916129,
K00545,624,0.92827,,0.82,
K00546,440,0.853659,,0.703125,
K00547,1519,0.907015,,0.860169,
K00548,3656,0.952448,,0.926174,
K00549,3216,0.936471,,0.876448,
K00550,96,1.0,,0.923077,
K00551,394,0.897959,,0.919355,
K00552,245,0.969072,,0.964706,
K00553,156,0.956522,,0.85,
K00554,4089,0.995056,,0.944253,
K00554+K01770,29,0.727273,,,
K00555,1176,0.907923,,0.888889,
K00556,807,0.940063,,0.822581,
K00557,610,0.979079,,0.931937,
K00558,7481,0.901045,,0.822127,
K00559,369,0.935252,,0.844444,
K00560,3422,0.91586,,0.885333,
K00561,355,0.803419,,0.88172,
K00562,120,0.642857,,0.25,
K00563,1460,0.961538,,0.874725,
K00564,2390,0.89767,,0.816936,
K00565,682,0.953846,,0.858491,
K00566,4179,0.97494,,0.913386,
K00567,6344,0.959167,,0.911051,
K00568,1786,0.900602,,0.808917,
K00569,1146,0.925301,,0.805031,
K00570,1100,0.689487,,0.562278,
K00571,1473,0.604269,,0.473171,
K00572,308,0.87619,,0.790123,
K00573,4898,0.920959,,0.868815,
K00574,4949,0.948507,,0.896947,
K00575,4623,0.971839,,0.920676,
K00577,167,0.90625,,0.897959,
K00578,74,0.965517,,0.823529,
K00579,79,0.967742,,1.0,
K00580,67,0.962963,,0.823529,
K00581,61,1.0,no negative,1.0,
K00582,65,0.56,,0.818182,
K00583,56,0.9,,0.857143,
K00584,96,0.918919,,0.857143,
K00586,527,0.980583,,0.922156,
K00587,619,0.970954,,0.904762,
K00588,480,0.646707,,0.497462,
K00589,133,1.0,,0.888889,
K00590,44,0.714286,,0.363636,
K00591,760,0.966667,,0.884058,
K00592,119,0.904762,,0.903226,
K00594,455,0.983607,,0.912752,
K00595,1845,0.979647,,0.95114,
K00596,171,0.901408,,0.761905,
K00597,397,0.895706,,0.816327,
K00598,1228,0.90991,,0.788512,
K00599,652,0.908367,,0.885845,
K00600,5181,0.987317,,0.957702,
K00601,280,0.970297,,0.929577,
K00602,3996,0.993086,,0.944126,
K00603,261,0.933333,,0.895522,
K00604,6753,0.944229,,0.917795,
K00605,4503,0.966984,,0.902235,
K00606,3822,0.994709,,0.972299,
K00607,8,0.0,no positive,0.0,no positive
K00608,33,1.0,no negative,1.0,no negative
K00609,3480,0.985591,,0.955224,
K00610,664,0.977444,,0.892704,
K00611,4364,0.974209,,0.944,
K00612,1281,0.965795,,0.894737,
K00613,314,0.957265,,0.843373,
K00614,198,0.961039,,0.892857,
K00615,9118,0.971508,,0.928152,
K00616,4663,0.957274,,0.913346,
K00617,46,0.941176,no negative,0.857143,
K00618,139,0.981132,,0.833333,
K00619,1216,0.840404,,0.779944,
K00619+K03741,3,0.0,no positive,,
K00620,3335,0.997736,,0.932278,
K00620+K00930,12,1.0,,,
K00621,624,0.936709,,0.845238,
K00622,393,0.875817,,0.90566,
K00623,372,0.912,,0.890756,
K00624,993,0.897849,,0.8,
K00625,1575,0.916667,,0.885246,
K00626,11529,0.890932,,0.820575,
K00627,6147,0.917306,,0.84751,
K00628,129,0.863636,,0.857143,
K00629,473,0.961749,,0.882353,
K00630,163,0.983607,,0.980392,
K00631,771,0.934985,,0.896825,
K00632,2715,0.860421,,0.866873,
K00633,363,0.688889,,0.694444,
K00634,530,0.832618,,0.783133,
K00635,2126,0.827346,,0.789308,
K00637,760,0.94702,,0.86758,
K00638,470,0.75817,,0.736,
K00639,1920,0.979827,,0.939641,
K00640,5537,0.949384,,0.882198,
K00641,3138,0.932343,,0.855249,
K00643,1146,0.988914,,0.958231,
K00645,5439,0.939279,,0.917133,
K00646,92,0.952381,,0.888889,
K00647,2167,0.858549,,0.83871,
K00648,7175,0.921721,,0.874043,
K00649,433,0.952381,,0.925373,
K00650,193,0.8,,0.888889,
K00651,1217,0.97732,,0.883951,
K00652,3954,0.917386,,0.873614,
K00652+K01906,23,0.8,,,
K00653,245,0.94,,0.935065,
K00654,1329,0.978389,,0.926829,
K00655,7257,0.767554,,0.737945,
K00656,797,1.0,,0.965779,
K00657,2327,0.50289,,0.434676,
K00658,3157,0.988391,,0.936449,
K00659,382,0.80597,,0.769231,
K00660,366,0.841379,,0.769231,
K00661,2235,0.698249,,0.752096,
K00662,826,0.868327,,0.6375,
K00663,447,0.641975,,0.536585,
K00664,21,1.0,no negative,0.8,
K00665,1122,0.859091,,0.757946,
K00666,5269,0.709453,,0.603831,
K00667,144,1.0,,0.972973,
K00667+K00668,70,0.928571,,,
K00668,140,1.0,,0.791667,
K00669,238,0.813953,,0.827586,
K00670,594,0.95814,,0.916667,
K00671,661,0.960938,,0.913462,
K00672,277,0.990826,,0.909091,
K00673,840,0.97546,,0.89243,
K00673+K01484,1,0.0,,,
K00674,2331,0.967672,,0.917553,
K00675,1122,0.849438,,0.788571,
K00677,2361,0.977964,,0.924757,
K00678,311,0.947368,,0.9,
K00679,381,0.979592,,0.854545,
K00680,65,0.631579,,0.8,
K00681,6194,0.953769,,0.84973,
K00682,544,0.931373,,0.789474,
K00682+K20825,2,0.0,,,
K00683,681,0.949275,,0.86385,
K00684,2668,0.988571,,0.925498,
K00685,758,0.961938,,0.909871,
K00686,181,0.985075,,0.925926,
K00687,66,0.909091,,0.933333,
K00688,4043,0.979772,,0.914106,
K00689,38,0.75,,0.533333,
K00690,397,0.835616,,0.780952,
K00691,456,0.994413,,0.933333,
K00692,241,0.913043,,0.641509,
K00693,391,0.973684,,0.904762,
K00694,446,0.893855,,0.861538,
K00694+K20541,72,0.965517,,,
K00695,466,0.994595,,0.951049,
K00696,541,0.970297,,0.9,
K00697,1673,0.939347,,0.826011,
K00698,1769,0.889843,,0.866109,
K00699,5745,0.822857,,0.771569,
K00700,4216,0.981359,,0.935252,
