ko,sequence_count,full_f1,full_note,frag_f1,frag_note
K08228,216,0.964706,,0.83871,
K08229,133,0.92,,0.933333,
K08230,550,0.874419,,0.652482,
K08231,131,0.871795,,0.833333,
K08232,310,0.991453,,0.909091,
K08234,1930,0.655629,,0.565041,
K08235,2444,0.906122,,0.884184,
K08236,3,0.0,no positive,0.0,no positive
K08237,827,0.868421,,0.748031,
K08238,274,0.871287,,0.727273,
K08239,299,0.967213,,0.9,
K08240,35,0.333333,,1.0,
K08241,153,0.818182,,0.736842,
K08242,112,1.0,,0.909091,
K08243,91,1.0,,0.444444,
K08244,185,1.0,no negative,0.897959,
K08245,533,0.974874,,0.934911,
K08246,114,0.952381,,0.941176,
K08247,97,0.974359,,0.969697,
K08248,216,0.974359,,0.766667,
K08249,16,0.571429,,0.666667,
K08251,241,0.935065,,0.857143,
K08252,126,0.444444,,0.571429,
K08253,8,0.0,,1.0,
K08254,181,0.606061,,0.5,
K08255,52,0.888889,,0.941176,
K08256,585,0.952381,,0.89172,
K08257,501,0.896552,,0.873684,
K08258,15,1.0,,0.666667,
K08259,19,1.0,,0.0,
K08260,340,0.636364,,0.658537,
K08261,54,0.714286,,0.444444,
K08264,291,0.728972,,0.680851,
K08265,41,1.0,,0.857143,
K08266,322,0.935484,,0.921569,
K08267,418,0.931677,,0.857143,
K08268,446,0.879518,,0.78125,
K08269,600,0.816901,,0.631579,
K08270,137,1.0,,0.893617,
K08271,227,0.976744,,0.833333,
K08272,601,0.961039,,0.892473,
K08273,165,0.870968,,0.893617,
K08274,8,0.0,,0.0,
K08275,13,1.0,,1.0,
K08276,360,0.933333,,0.755556,
K08277,29,0.833333,,0.8,
K08278,7,0.2,,0.285714,
K08279,31,0.857143,,0.888889,
K08280,6,0.0,no positive,0.0,no positive
K08281,2374,0.840699,,0.758305,
K08282,159,0.5,,0.6,
K08283,256,0.990099,,0.816901,
K08284,146,0.830189,,0.714286,
K08285,37,1.0,,1.0,
K08286,1669,0.652687,,0.577406,
K08287,473,0.893333,,0.873786,
K08288,739,0.968641,,0.913043,
K08289,1233,0.985801,,0.94686,
K08290,133,0.979592,,0.846154,
K08291,474,0.978495,,0.945946,
K08292,242,0.978723,,0.929577,
K08293,38,1.0,,1.0,
K08294,125,0.938776,,0.857143,
K08295,525,0.975845,,0.924138,
K08296,3567,0.934347,,0.839255,
K08297,27,0.727273,,0.8,
K08298,57,0.842105,,0.631579,
K08299,206,0.5625,,0.771429,
K08300,3418,0.982797,,0.875962,
K08301,1549,0.900158,,0.880952,
K08302,449,0.887097,,0.78,
K08303,2770,0.947465,,0.90566,
K08304,1528,0.948247,,0.876404,
K08305,2324,0.878756,,0.763871,
K08306,352,0.948148,,0.804878,
K08307,2424,0.875,,0.818414,
K08308,115,0.95,,0.777778,
K08309,2772,0.848188,,0.72795,
K08310,708,0.913386,,0.825243,
K08311,1554,0.949914,,0.929104,
K08312,499,0.984615,,0.896552,
K08313,90,0.857143,,0.75,
K08314,36,0.666667,,0.666667,
K08315,275,0.886598,,0.904762,
K08316,4558,0.949099,,0.905745,
K08317,206,0.880952,,0.779661,
K08318,77,0.869565,,0.75,
K08319,389,0.969231,,0.865385,
K08320,143,0.954545,,0.903226,
K08321,141,1.0,no negative,0.980392,
K08322,187,0.862069,,0.952381,
K08323,520,0.99,,0.942529,
K08324,221,0.987342,,0.866667,
K08325,611,0.962343,,0.87,
K08326,25,0.75,no negative,0.8,
K08327,128,0.923077,,0.774194,
K08328,512,0.963731,,0.932515,
K08329,119,0.863636,,0.666667,
K08330,269,0.910891,,0.821429,
K08331,626,0.897959,,0.780822,
K08332,395,0.720497,,0.612903,
K08333,458,0.977778,,0.892857,
K08334,493,0.938776,,0.885714,
K08335,25,0.769231,,0.666667,
K08336,521,0.954315,,0.914634,
K08337,569,0.973913,,0.942529,
K08338,20,0.285714,,0.0,
K08339,466,0.954545,,0.82243,
K08340,29,1.0,,0.4,
K08341,661,0.898305,,0.920188,
K08342,1111,0.959427,,0.853731,
K08343,436,0.981818,,0.927536,
K08344,251,0.697674,,0.595238,
K08348,95,0.8,,0.533333,
K08349,35,0.666667,,0.666667,
K08350,44,0.8,,0.666667,
K08351,465,1.0,,0.961832,
K08352,356,0.766917,,0.736842,
K08353,19,0.363636,,0.4,
K08354,32,0.888889,,1.0,no negative
K08355,155,0.813559,,0.666667,
K08356,94,0.971429,,0.909091,
K08357,147,0.931034,,0.888889,
K08358,194,0.777778,,0.772727,
K08359,152,0.947368,,0.864865,
K08360,1004,0.901554,,0.843575,
K08362,75,0.631579,,0.785714,
K08363,511,0.855721,,0.721519,
K08364,398,0.888889,,0.738462,
K08365,594,0.8,,0.576271,
K08366,303,0.941176,,0.831461,
K08367,159,0.488889,,0.526316,
K08368,589,0.752066,,0.637838,
K08369,1788,0.775885,,0.715278,
K08370,176,1.0,,0.965517,
K08371,507,0.777293,,0.620253,
K08372,1664,0.887865,,0.790378,
K08373,80,0.969697,,1.0,
K08374,336,0.879121,,0.891892,
K08375,1263,0.641638,,0.533333,
K08376,453,0.890511,,0.75,
K08377,119,0.928571,,0.928571,
K08378,419,0.790698,,0.758621,
K08379,56,0.545455,,0.0,
K08380,146,0.666667,,0.689655,
K08381,55,0.888889,,0.875,
K08382,146,0.867925,,0.925926,
K08383,306,0.97561,,0.893617,
K08384,678,0.908333,,0.903226,
K08385,426,0.901408,,0.778626,
K08386,215,0.963855,,0.918033,
K08387,142,0.872727,,0.761905,
K08388,281,0.944444,,0.813953,
K08389,55,0.666667,no negative,0.8,
K08390,99,1.0,,1.0,
K08391,141,0.931034,,0.857143,
K08392,80,0.896552,,0.909091,
K08393,26,1.0,,0.571429,
K08394,34,0.923077,,0.909091,
K08395,82,0.666667,,0.777778,
K08396,641,0.843049,,0.764706,
K08397,418,0.974684,,0.929577,
K08398,73,0.952381,,1.0,
K08399,302,0.854701,,0.795455,
K08400,139,0.981818,,0.976744,
K08401,55,0.947368,,1.0,
K08402,475,0.911917,,0.831169,
K08403,102,1.0,no negative,0.888889,
K08404,161,0.980392,no negative,0.926829,
K08405,192,0.957746,,0.833333,
K08406,65,0.952381,,0.933333,
K08407,52,0.8,,1.0,
K08408,154,1.0,,0.913043,
K08409,125,1.0,,0.761905,
K08410,97,0.972973,,0.967742,
K08411,177,0.915254,,0.945455,
K08412,215,0.936709,,0.931507,
K08413,215,0.853659,,0.806452,
K08414,229,0.976744,,0.866667,
K08415,43,1.0,no negative,0.8,
K08416,195,0.779221,,0.777778,
K08417,95,0.871795,,0.952381,
K08418,14,0.0,no positive,0.0,no positive
K08419,262,0.947368,,0.948718,
K08420,158,0.881356,,0.714286,
K08421,249,0.870588,,0.857143,
K08422,88,0.75,,0.823529,
K08423,114,0.974359,,0.9375,
K08424,267,0.884211,,0.885714,
K08425,155,0.909091,,0.866667,
K08426,292,0.933333,,0.897959,
K08427,138,0.976744,,0.888889,
K08428,572,0.706522,,0.675497,
K08429,267,0.784,,0.854369,
K08430,183,0.892308,,0.846154,
K08431,92,0.969697,,0.965517,
K08432,228,0.807692,,0.651163,
K08433,165,0.982456,,0.872727,
K08434,182,0.901961,,0.857143,
K08435,219,0.965517,,0.862745,
K08436,86,1.0,,0.818182,
K08437,134,0.976744,,0.918919,
K08438,255,0.821053,,0.607143,
K08439,177,0.734694,,0.83871,
K08440,27,0.888889,,1.0,
K08441,147,0.943396,,0.941176,
K08442,101,1.0,,0.9375,
K08443,161,0.866667,,0.791667,
K08444,302,0.578512,,0.4,
K08445,126,0.888889,,0.818182,
K08446,424,0.899329,,0.719298,
K08447,365,0.861538,,0.854369,
K08448,261,0.960784,,0.767123,
K08449,176,0.969697,,0.863636,
K08450,149,0.90566,,0.888889,
K08451,416,0.815287,,0.639456,
K08452,281,0.873786,,0.813953,
K08453,76,1.0,,1.0,
K08454,65,0.923077,,0.909091,
K08455,268,0.924528,,0.764045,
K08456,309,0.924528,,0.731707,
K08457,100,0.923077,,0.8,
K08458,176,0.724638,,0.666667,
K08459,234,0.795455,,0.857143,
K08460,167,0.923077,,0.808511,
K08461,126,0.978723,,0.8,
K08462,246,0.949495,,0.825,
K08463,222,0.944444,,0.941176,
K08464,281,0.928571,,0.840909,
K08465,294,0.8,,0.666667,
K08466,304,0.947368,,0.901099,
K08467,352,0.917293,,0.824742,
K08468,132,0.872727,,0.818182,
K08469,398,0.754717,,0.77037,
K08470,304,0.875,,0.906667,
K08471,3980,0.699519,,0.612903,
K08472,1696,0.986667,,0.942339,
K08473,1563,0.7603,,0.72679,
K08474,2835,0.925,,0.833703,
K08475,94,0.888889,,0.571429,
K08476,85,0.888889,,0.727273,
K08477,4,0.0,no positive,0.0,no positive
K08478,130,0.844444,,0.8,
K08479,118,0.944444,,0.8,
K08480,107,0.947368,,0.666667,
K08481,533,0.885417,,0.846626,
K08482,1187,0.900452,,0.830189,
K08483,2650,0.984314,,0.908676,
K08484,805,0.970874,,0.941704,
K08485,344,0.894309,,0.873239,
K08486,1559,0.80776,,0.74938,
K08487,430,0.994083,,0.865248,
K08488,212,0.80597,,0.656716,
K08489,566,0.890995,,0.788235,
K08490,604,0.965517,,0.890052,
K08491,304,0.928571,,0.880952,
K08492,501,0.903226,,0.741379,
K08493,969,0.853994,,0.780303,
K08494,210,0.830769,,0.711111,
K08495,507,0.964824,,0.842767,
K08496,511,0.891304,,0.781818,
K08497,539,0.852792,,0.606557,
K08498,225,0.576923,,0.766667,
K08499,73,0.758621,,0.736842,
K08500,161,0.961538,,0.916667,
K08501,463,0.895349,,0.743802,
K08502,122,0.938776,,0.823529,
K08503,170,0.962963,,0.888889,
K08504,805,0.900662,,0.749064,
K08505,178,0.62963,,0.848485,
K08506,268,0.929293,,0.873239,
K08507,453,0.855263,,0.716667,
K08508,147,0.884615,,0.888889,
K08509,367,0.94964,,0.806723,
K08510,123,0.866667,,0.833333,
K08511,333,0.831858,,0.857143,
K08512,226,0.917647,,0.915663,
K08513,266,0.817204,,0.795181,
K08514,215,0.712329,,0.742857,
K08515,690,0.870229,,0.782123,
K08516,510,0.956989,,0.885714,
K08517,441,0.925,,0.864,
K08518,720,0.944056,,0.841202,
K08519,152,0.962963,,0.833333,
K08520,238,0.917647,,0.920635,
K08521,148,0.915254,,0.88,
K08522,127,0.977778,,0.976744,
K08523,189,0.941176,,0.92,
K08524,177,0.567164,,0.553191,
K08525,49,0.571429,,0.461538,
K08526,77,0.8,,0.666667,
K08527,95,0.75,,0.857143,
K08528,138,0.787879,,0.758621,
K08529,79,0.818182,,0.8,
K08530,133,0.926829,,0.695652,
K08531,196,0.985075,,0.877193,
K08532,160,0.862069,,0.702703,
K08533,192,0.884615,,0.888889,
K08534,88,0.969697,,0.909091,
K08535,44,0.666667,,1.0,
K08536,92,0.866667,,0.869565,
K08537,89,0.928571,,0.823529,
K08538,140,0.965517,,0.930233,
K08539,208,0.8,,0.62069,
K08540,142,0.941176,,0.848485,
K08541,120,0.933333,,0.8,
K08542,95,0.971429,,0.928571,
K08543,74,0.916667,,0.923077,
K08544,121,0.941176,,0.689655,
K08545,298,0.914894,,0.785714,
K08546,421,0.791367,,0.761905,
K08547,120,0.410256,,0.592593,
K08548,60,0.6,,0.0,no positive
K08549,68,0.846154,,0.75,
K08550,138,1.0,,0.9,
K08551,210,0.974359,,0.895522,
K08552,32,0.857143,,0.714286,
K08553,74,0.857143,,0.888889,
K08554,158,0.702703,,0.787879,
K08555,78,0.923077,,0.736842,
K08556,189,0.972222,,0.866667,
K08557,228,0.964706,,0.942857,
K08558,231,0.941176,,0.775,
K08559,80,1.0,,0.705882,
K08560,41,0.933333,,0.923077,
K08561,83,0.96,,0.75,
K08562,169,0.95082,,0.8,
K08563,236,0.91954,,0.915663,
K08564,20,0.5,,1.0,
K08565,68,1.0,,0.823529,
K08566,64,0.869565,,0.434783,
K08568,406,0.954839,,0.915254,
K08569,127,0.878049,,0.740741,
K08570,10,0.0,,0.0,
K08571,12,0.666667,,1.0,
K08572,10,0.5,,0.666667,
K08573,113,0.878049,,0.764706,
K08574,415,0.933333,,0.864407,
K08575,42,0.857143,,0.333333,
K08576,339,0.944882,,0.834951,
K08577,145,0.918919,,0.944444,
K08578,334,0.54902,,0.4,
K08579,171,0.985075,,0.938776,
K08580,76,0.75,,0.740741,
K08581,159,0.794521,,0.941176,
K08582,363,0.944882,,0.962963,
K08583,181,0.927536,,0.866667,
K08584,41,0.933333,,0.714286,
K08585,412,0.796992,,0.578947,
K08586,8,0.0,no positive,0.0,no positive
K08587,12,0.666667,,0.666667,
K08588,226,1.0,no negative,0.9,
K08589,10,0.0,no positive,0.0,no positive
K08590,4,0.0,no negative,1.0,no negative
K08591,3585,0.97454,,0.911909,
K08592,814,0.835443,,0.695187,
K08593,132,1.0,no negative,0.883721,
K08594,226,0.976744,,0.876712,
K08595,211,0.888889,,0.8,
K08596,784,0.837662,,0.780488,
K08597,541,0.886364,,0.76,
K08598,64,0.666667,,0.6,
K08599,16,0.857143,,0.666667,
K08600,453,0.862069,,0.576923,
K08601,571,0.946903,,0.884848,
K08602,2068,0.760504,,0.720351,
K08603,1,0.0,,0.666667,
K08604,260,0.740741,,0.739726,
K08605,1,0.0,,1.0,no negative
K08606,643,0.838428,,0.774566,
K08607,185,0.96875,,0.925926,
K08608,278,0.990654,,0.911111,
K08609,392,0.609195,,0.561404,
K08610,77,0.761905,,0.8,
K08611,15,0.5,,0.0,
K08612,71,0.307692,,0.285714,
K08613,20,0.8,,0.8,
K08614,289,0.944444,,0.823529,
K08615,111,0.95,,0.857143,
K08616,95,0.914286,,0.96,
K08617,103,0.971429,,0.896552,
K08618,300,0.829787,,0.925,
K08619,212,0.857143,,0.846154,
K08620,99,0.974359,,0.967742,
K08621,173,0.678571,,0.692308,
K08622,282,0.87619,,0.828571,
K08623,165,0.953846,,0.897959,
K08624,188,0.690476,,0.45614,
K08625,73,0.962963,,0.88,
K08626,224,0.878049,,0.852459,
K08627,230,0.988506,,0.929577,
K08628,199,0.794521,,0.666667,
K08629,157,0.965517,,0.978723,
K08630,172,0.918033,,0.808511,
K08631,146,0.877193,,0.836364,
K08632,192,0.842105,,0.742857,
K08633,55,0.947368,,0.8,
K08634,74,0.96,,0.814815,
K08635,1835,0.696133,,0.662447,
K08636,125,0.967742,,0.875,
K08637,207,0.422535,,0.2,
K08638,220,1.0,,0.972222,
K08639,104,0.9,,0.969697,
K08640,302,0.5,,0.511628,
K08641,1775,0.953353,,0.782609,
K08642,124,0.882353,,0.625,
K08643,47,1.0,,1.0,
K08644,1,1.0,,1.0,
K08645,2,0.0,no positive,0.0,no positive
K08646,208,0.830769,,0.690909,
K08647,162,0.949153,,0.851852,
K08648,343,0.967213,,0.923077,
K08649,128,0.909091,,0.740741,
K08650,97,1.0,,0.555556,
K08651,364,0.483871,,0.490566,
K08652,20,0.0,,0.0,
K08653,327,0.939394,,0.93578,
K08654,560,0.520833,,0.508475,
K08655,37,1.0,,1.0,
K08656,259,0.915888,,0.871795,
K08657,471,0.937853,,0.893939,
K08658,618,0.932773,,0.867725,
K08659,609,0.813953,,0.819277,
K08660,342,0.920635,,0.897196,
K08661,8,0.0,no positive,0.0,no positive
K08662,6,0.0,no positive,0.0,no positive
K08663,155,0.974359,,0.857143,
K08664,527,0.270588,,0.1875,
K08665,115,0.914286,,0.928571,
K08666,41,1.0,,0.888889,
K08667,78,0.695652,,0.823529,
K08668,128,0.969697,,0.869565,
K08669,482,0.911111,,0.870748,
K08670,432,0.96732,,0.921875,
K08671,170,0.911765,,0.901961,
K08672,150,0.981132,,0.923077,
K08673,206,0.987342,,0.955224,
K08674,50,0.555556,,0.875,
K08675,535,0.947368,,0.927374,
K08676,988,0.997455,,0.843137,
K08677,343,0.784615,,0.683544,
K08678,1837,0.918519,,0.89547,
K08679,2740,0.954023,,0.923077,
K08680,910,0.91018,,0.87218,
K08681,1965,0.994832,,0.951429,
K08682,1064,0.968825,,0.842975,
K08683,402,0.522293,,0.37037,
K08685,111,0.976744,,1.0,
K08687,6,0.666667,,1.0,
K08688,170,0.869565,,0.862069,
K08689,30,0.714286,,0.75,
K08690,49,0.875,,0.666667,
K08691,285,0.894737,,0.923077,
K08692,73,0.923077,,0.869565,
K08693,152,0.666667,,0.363636,
K08694,605,0.932735,,0.879581,
K08695,181,0.666667,,0.636364,
K08696,52,0.555556,,0.727273,
K08697,76,1.0,,0.962963,
K08698,101,0.972973,no negative,0.875,
K08699,114,0.97561,,0.916667,
K08700,76,0.965517,,1.0,no negative
K08701,161,0.537634,,0.631579,
K08702,21,0.0,no positive,0.0,no positive
K08703,118,0.933333,,0.941176,
K08704,139,0.7,,0.846154,
K08705,253,0.8125,,0.78125,
K08706,328,0.9375,,0.818182,
K08707,182,0.933333,,0.77193,
K08709,107,0.833333,,0.785714,
K08710,3,,no sample,,no sample
K08711,2325,0.884381,,0.832952,
K08712,104,0.967742,,0.909091,
K08713,146,0.830189,,0.634146,
K08714,672,0.977778,,0.87156,
K08715,331,0.984375,,0.854167,
K08716,427,0.9125,,0.915493,
K08717,523,0.902655,,0.781065,
K08718,43,0.857143,,0.857143,
K08719,10,1.0,,0.666667,
K08720,301,0.637931,,0.390977,
K08721,51,1.0,,0.833333,
K08722,324,0.99187,,0.827586,
K08723,341,0.909091,,0.814815,
K08724,408,0.948905,,0.859504,
K08725,195,0.898551,,0.77193,
K08726,475,0.818182,,0.601942,
K08727,165,1.0,,0.884615,
K08728,43,0.888889,,0.727273,
K08729,267,0.990099,,0.91954,
K08730,331,0.992126,,0.934579,
K08731,520,0.959596,,0.906077,
K08732,268,0.844444,,0.766667,
K08733,88,0.9375,,0.818182,
K08734,622,0.979592,,0.888889,
K08735,535,0.961165,,0.873418,
K08736,485,0.947368,,0.929134,
K08737,738,0.97931,,0.837989,
K08738,4913,0.789989,,0.6775,
K08739,565,0.931034,,0.794872,
K08740,531,0.938776,,0.876712,
K08741,513,0.916667,,0.873418,
K08742,104,0.8,,0.6,
K08743,323,0.807692,,0.853659,
K08744,1991,0.887892,,0.831615,
K08745,715,0.945055,,0.862385,
K08746,529,0.892473,,0.92,
K08747,371,0.970588,,0.907407,
K08748,65,1.0,no negative,0.857143,
K08749,302,0.960784,,0.831461,
K08750,279,0.827586,,0.886364,
K08751,252,0.972973,,0.909091,
K08752,787,0.648318,,0.579926,
K08753,264,0.482759,,0.482759,
K08754,129,0.914286,,0.844444,
K08755,235,0.94382,,0.897436,
K08756,218,0.777778,,0.631579,
K08757,223,0.707317,,0.740741,
K08758,222,0.879121,,0.657143,
K08759,113,0.829268,,0.820513,
K08760,540,0.909091,,0.842105,
K08761,181,0.941176,,0.938776,
K08762,930,0.668182,,0.70936,
K08763,92,0.9,,0.933333,
K08764,441,0.976471,,0.810458,
K08765,487,0.963351,,0.859259,
K08766,395,0.946667,,0.942149,
K08767,210,0.975,,0.920635,
K08768,123,0.92,,0.930233,
K08769,33,1.0,no negative,0.8,
K08770,220,0.463415,,0.5,
K08771,211,0.948718,,0.918033,
K08772,87,1.0,,0.967742,
K08773,327,0.898305,,0.833333,
K08774,173,0.939394,,0.90625,
K08775,530,0.831579,,0.765101,
K08776,582,0.903846,,0.88,
K08777,49,0.75,,0.8,
K08778,92,0.965517,,0.947368,
K08779,403,0.844037,,0.870588,
K08780,101,0.947368,,0.903226,
K08781,68,0.769231,,0.8,
K08782,132,0.979592,,0.913043,
K08783,119,0.952381,,0.903226,
K08784,212,0.938272,,0.969697,
K08785,164,0.966667,,0.933333,
K08786,59,0.842105,,0.857143,
K08787,46,0.9,,0.666667,
K08788,151,0.964286,no negative,0.893617,
K08789,1164,0.966592,,0.920548,
K08790,569,0.9375,,0.91,
K08791,317,0.983871,,0.979592,
K08793,468,0.94186,,0.894737,
K08794,838,0.921502,,0.862222,
K08795,56,0.842105,,0.769231,
K08796,366,0.976744,,0.903846,
K08797,243,0.938776,,0.906667,
K08798,711,0.851064,,0.877193,
K08799,323,0.944882,,0.847826,
K08800,321,0.96063,,0.895238,
K08801,334,0.907801,,0.907407,
K08802,403,0.954248,,0.921739,
K08803,491,0.88764,,0.782609,
K08804,393,0.825806,,0.810811,
K08805,440,0.969697,,0.958678,
K08806,117,0.888889,,0.894737,
K08807,124,0.83871,,0.733333,
K08808,208,0.916667,,0.90625,
K08809,272,0.980769,,0.917647,
K08810,94,0.941176,,0.666667,
K08811,1052,0.89418,,0.853659,
K08812,158,0.923077,,0.846154,
K08813,246,0.928571,,0.83871,
K08814,272,0.959184,,0.87234,
K08815,448,0.933333,,0.892562,
K08816,924,0.929972,,0.867647,
K08817,258,0.88172,,0.852459,
K08818,858,0.856209,,0.845188,
K08819,1158,0.722892,,0.704167,
K08820,81,0.875,,0.888889,
K08821,173,0.941176,,0.892857,
K08822,53,0.705882,,0.6,
K08823,379,0.874172,,0.842975,
K08824,899,0.941504,,0.911111,
K08825,273,0.96,,0.891566,
K08826,640,0.96748,,0.867925,
K08827,636,0.959677,,0.911111,
K08828,179,0.842105,,0.88,
K08829,706,0.890625,,0.830918,
K08830,335,0.948276,,0.96,
K08831,173,0.965517,,0.744186,
K08832,1218,0.801587,,0.685393,
K08833,290,0.900901,,0.829268,
K08834,588,0.981308,,0.928177,
K08835,877,0.875346,,0.851211,
K08836,404,0.822086,,0.790698,
K08837,160,0.923077,,0.8,
K08838,806,0.928571,,0.882591,
K08840,301,0.890756,,0.893617,
K08841,237,0.923077,,0.931507,
K08842,207,0.818182,,0.676056,
K08843,170,0.878788,,0.8,
K08844,200,0.942857,,0.888889,
K08845,60,0.842105,,0.933333,
K08846,255,0.94,,0.891892,
K08847,306,0.896552,,0.853933,
K08848,100,1.0,no negative,1.0,
K08849,236,0.955556,,0.8,
K08850,360,0.84375,,0.628571,
K08851,799,0.952381,,0.885246,
K08852,866,0.784884,,0.781726,
K08853,775,0.92053,,0.837209,
K08854,181,0.972222,,0.869565,
K08855,333,0.992,,0.857143,
K08856,487,0.977011,,0.90566,
K08857,1466,0.916519,,0.890476,
K08858,779,0.934256,,0.908297,
K08859,141,0.961538,,0.826087,
K08860,275,0.783333,,0.804878,
K08861,124,0.971429,,0.833333,
K08862,67,1.0,,1.0,
K08863,341,0.961832,,0.840909,
K08864,376,0.965517,,0.94,
K08865,322,0.97561,,0.891304,
K08866,663,0.893939,,0.80597,
K08867,2671,0.971591,,0.886792,
K08868,821,0.946429,,0.839024,
K08869,3558,0.873926,,0.789026,
K08870,516,0.925373,,0.917197,
K08871,189,0.867925,,0.680851,
K08872,249,0.978723,,0.911765,
K08873,348,0.984375,,0.928571,
K08874,469,0.967391,,0.913043,
K08875,346,0.992366,,0.970874,
K08876,527,0.920635,,0.897959,
K08877,89,1.0,no negative,0.869565,
K08878,200,0.906667,,0.851852,
K08879,93,1.0,,0.96,
K08880,313,0.951456,,0.777778,
K08881,201,0.888889,,0.92,
K08882,101,0.933333,,1.0,
K08883,256,0.914894,,0.714286,
K08884,1899,0.561345,,0.448845,
K08885,166,0.96875,,0.844444,
K08886,372,0.692308,,0.791367,
K08887,65,1.0,,0.947368,
K08888,122,0.976744,,1.0,
K08889,245,0.909091,,0.8,
K08890,122,0.869565,,0.883721,
K08891,36,0.666667,,0.5,
K08892,397,0.929577,,0.877193,
K08893,112,0.967742,,0.833333,
K08894,203,0.985075,,0.833333,
K08895,127,0.933333,,0.857143,
K08896,78,1.0,,0.857143,
K08897,98,0.967742,,0.785714,
K08898,223,0.891566,,0.716418,
K08899,89,0.695652,,0.842105,
K08900,722,0.642336,,0.456522,
K08901,391,0.827068,,0.816327,
K08902,241,0.989011,,0.8,
K08903,236,0.978723,,0.901408,
K08904,55,0.941176,,1.0,
K08905,104,1.0,,1.0,
K08906,528,0.632184,,0.583333,
K08907,102,0.47619,,0.333333,
K08908,144,0.982456,,0.926829,
K08909,64,0.8,,0.9,
K08910,84,0.962963,,0.952381,
K08911,107,0.848485,,0.869565,
K08912,98,0.75,,0.740741,
K08913,40,0.470588,,0.428571,
K08914,28,0.857143,,1.0,
K08915,112,0.83871,,0.857143,
K08916,74,1.0,,0.9,
K08917,68,1.0,no negative,0.916667,
K08918,12,0.666667,,0.222222,
K08919,8,0.0,no positive,0.0,no positive
K08920,3,,no sample,0.0,no positive
K08921,17,0.5,,0.666667,
K08922,5,0.0,,0.0,no positive
K08923,8,0.0,no positive,0.0,no positive
K08924,2,0.0,no negative,0.666667,
K08925,4,0.0,no negative,0.4,
K08926,166,0.912281,,0.821429,
K08927,164,0.77193,,0.784314,
K08928,96,0.972973,,0.967742,
K08928+K08929,2,1.0,,,
K08929,131,1.0,,0.976744,
K08930,65,0.636364,,0.75,
K08939,39,1.0,,1.0,
K08940,7,1.0,,0.666667,
K08941,25,1.0,,0.857143,
K08942,23,1.0,,0.727273,
K08943,29,1.0,,1.0,
K08944,10,1.0,,1.0,
K08945,5,1.0,,1.0,
K08946,27,0.625,,0.8,
K08947,20,0.888889,,0.545455,
K08948,5,1.0,,0.0,
K08949,27,0.909091,,0.909091,
K08950,13,0.666667,,0.666667,
K08951,13,0.0,,0.0,
K08952,18,0.857143,,1.0,
K08953,10,1.0,no negative,1.0,
K08954,15,0.8,,0.4,
K08955,774,0.976898,,0.870229,
K08956,990,0.870523,,0.911661,
K08957,312,0.793388,,0.8,
K08958,345,0.953846,,0.92437,
K08959,114,0.8,,0.0,no positive
K08960,459,0.782123,,0.69863,
K08961,149,0.77193,,0.717949,
K08963,2401,0.985976,,0.933165,
K08964,1000,0.973958,,0.849498,
K08964+K08966,1,1.0,no negative,,
K08965,175,0.984615,,0.983051,
K08966,467,0.817204,,0.820896,
K08967,1553,0.949153,,0.921488,
K08968,2226,0.959811,,0.912752,
K08969,367,0.952381,,0.925373,
K08970,1370,0.867647,,0.831731,
K08971,215,0.962963,,0.809524,
K08972,2288,0.930958,,0.866505,
K08973,2080,0.912833,,0.842262,
K08974,1415,0.954704,,0.910603,
K08975,312,0.96875,,0.923077,
K08976,1002,0.950649,,0.802721,
K08977,85,0.944444,,0.857143,
K08978,1003,0.877095,,0.764228,
K08979,200,0.944444,,0.8,
K08980,68,0.952381,,0.461538,
K08981,1859,0.888601,,0.817391,
K08982,1498,0.839378,,0.799277,
K08983,360,0.965035,,0.782609,
K08984,818,0.959248,,0.848485,
K08985,163,0.823529,,0.6875,
K08986,355,0.661972,,0.714286,
K08987,1271,0.919918,,0.852608,
K08988,488,0.942408,,0.834532,
K08989,812,0.836676,,0.738351,
K08990,715,0.982578,,0.874419,
K08991,686,0.894942,,0.842105,
K08992,1210,0.581749,,0.533597,
K08993,287,0.882883,,0.867925,
K08994,2062,0.955112,,0.874404,
K08995,1612,0.726368,,0.521552,
K08996,285,0.834783,,0.790123,
K08997,2854,0.900813,,0.874104,
K08998,4374,0.93698,,0.936817,
K08999,1486,0.928058,,0.819048,
K09000,416,0.936709,,0.771084,
K09001,2647,0.986717,,0.926454,
K09002,337,0.861789,,0.684932,
K09003,344,0.970149,,0.837838,
K09004,1079,0.832952,,0.695313,
K09005,2557,0.810431,,0.773609,
K09006,133,0.981132,,0.871795,
K09007,1095,0.973747,,0.92163,
K09008,558,0.815534,,0.759124,
K09009,806,0.95114,,0.906367,
K09010,47,0.75,,0.8,
K09011,305,0.95,,0.915663,
K09012,128,0.666667,,0.666667,
K09013,2681,0.986792,,0.951496,
K09014,1680,0.959064,,0.911197,
K09015,3354,0.95057,,0.857728,
K09016,221,0.896552,,0.920635,
K09017,1866,0.512909,,0.422907,
K09018,205,0.805195,,0.943396,
K09019,900,0.944751,,0.816479,
K09020,449,0.592,,0.549451,
K09021,105,0.969697,,0.848485,
K09022,4626,0.582185,,0.545357,
K09023,249,0.821053,,0.694444,
K09024,498,0.755814,,0.775758,
K09025,93,0.971429,,0.947368,
K09026,220,0.986667,,0.945455,
